JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/kkt_run/kkt/../configs/cifar10_condition2_heuristics.json
Problem type: classification
Dataset: cifar10
Tasks: 10
AWB enabled: False

Output directory: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/cifar10
Model path: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/cifar10/model


############################################################
# Run 1 / 1
############################################################
Loading CIFAR-10 dataset
CIFAR-10 data loaded: 50000 samples

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/250 [00:00<?, ?it/s]
  0%|          | 1/250 [00:58<4:03:52, 58.76s/it]
  1%|          | 2/250 [01:28<2:52:33, 41.75s/it]
  1%|          | 3/250 [02:01<2:36:05, 37.92s/it]
  2%|▏         | 4/250 [02:34<2:26:52, 35.82s/it]
  2%|▏         | 5/250 [03:06<2:21:10, 34.57s/it]
  2%|▏         | 6/250 [03:37<2:14:45, 33.14s/it]
  3%|▎         | 7/250 [04:09<2:12:32, 32.73s/it]
  3%|▎         | 8/250 [04:39<2:08:59, 31.98s/it]
  4%|▎         | 9/250 [05:11<2:07:48, 31.82s/it]
 14%|█▍        | 35/250 [18:54<1:56:36, 32.54s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 14%|█▍        | 36/250 [19:26<1:56:14, 32.59s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 15%|█▍        | 37/250 [20:00<1:56:30, 32.82s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 15%|█▌        | 38/250 [20:28<1:51:13, 31.48s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 16%|█▌        | 39/250 [20:59<1:50:14, 31.35s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 16%|█▌        | 40/250 [21:31<1:50:29, 31.57s/it, CE=1.222864e+00 H=1.214106e+00 dV_dx=4.564981e-07 dV_dθ=-8.758754e-03 ||∇||=3.625824e+00 | Tr=0.5742 Te/Cur=0.5671 Te/Exp=0.5679]
 16%|█▌        | 40/250 [22:05<1:50:29, 31.57s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 16%|█▋        | 41/250 [22:05<1:52:34, 32.32s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 17%|█▋        | 42/250 [22:32<1:45:55, 30.56s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 17%|█▋        | 43/250 [23:04<1:47:44, 31.23s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 18%|█▊        | 44/250 [23:33<1:44:35, 30.47s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
